Entry,Compound,Shortest distance,Filtered,Number of atoms
526762,Fe3Ge,5e-05,Yes,313
1720489,FeSi,2.31152,No,120
1715354,CoSb,2.6,No,98
1050321,Pd3Sn,2.81287,No,113
453316,Ni3Sn,5e-05,Yes,313
1407717,Ni3Sn,5e-05,Yes,313
450623,Co1.7Ge,2.25972,No,189
251000,Pt3In,2.82135,No,113
1400050,RuSn2,2.79625,No,250
554323,Fe1.67Ge,2.31399,No,189
527642,RhSb,2.58855,No,152
1250819,Ni3Sn4,2.53512,No,210
454860,CoSb,2.58536,No,98
529109,Fe5Si3,2.35049,No,334
1716305,Fe0.905Si0.095,2.47674,No,60
1954261,FeSi,2.27778,No,120
554690,Ni1.5Sn,2.27762,No,189
261302,Pd2Ga,2.51011,No,228
1200974,Ni1.41Sn,2.33304,No,208
1610984,FeSb1.99,2.58161,No,90
1951443,Pt3Sb2,2.57938,No,314
1815215,Co2Si,2.31896,No,228
1100700,Fe3Si,2.44651,No,466
1927258,Fe0.81Ga0.19,2.51753,No,60
534831,Pt3In,2.82277,No,113
450409,Pt0.94In0.06,2.78458,No,120
250652,Pd3Sn,2.81074,No,113
533838,Fe0.75Ga0.25,2.62435,No,120
529848,Ni0.92Sb0.08,2.53144,No,120
1150686,IrSi,2.39217,No,120
554647,Pt3In,2.83549,No,113
1251253,Co2Si,2.31896,No,228
1410054,RuGa3,2.43541,No,270
554646,Pt5.33In2.67,2.69628,No,451
1232904,Ni1.86Ge,2.27531,No,189
529849,Ni0.88Sn0.12,2.56255,No,120
555564,Co2Si,2.31082,No,228
1011181,FeSn,2.65009,No,163
533839,Fe0.61Ga0.39,2.51597,No,60
1822447,CoSi2,2.32284,No,278
1951442,Pt3Sb,2.78988,No,332
1100701,Fe1.5Si0.5,2.43352,No,109
1200975,Ni1.41Sn,2.30628,No,208
1710761,CoGa3,2.39372,No,270
527643,RuSb,2.61405,No,152
1826190,Fe1.34Si0.66,2.4162,No,109
554322,Fe1.8Ge,2.33247,No,257
450622,Ni1.71Ge,2.25741,No,189
526978,Pd2Ga,2.53384,No,228
251001,Pt2.67Ga1.33,2.72988,No,211
1407716,Ni0.91Sn0.09,2.54692,No,120
526950,Pt2Ge3,2.06142,No,380
1720488,FeSi,2.31319,No,120
1828383,Fe3Si,2.44651,No,466
452960,CoSi,2.28298,No,120
1710211,NiSb2,2.58197,No,90
1324357,RuSi,2.51995,No,62
1949027,Pt2Si,2.47062,No,152
452974,CoSb,2.58811,No,98
454524,CoGa,2.49414,No,62
552627,Fe1.22Sb,2.36999,No,189
1720503,FeSi,2.30012,No,120
1642392,Ni0.91Ge0.09,2.64811,No,120
1962301,FeSn,2.63824,No,163
314415,FeGe,2.48674,No,163
1234959,FeSn,2.64349,No,163
1720271,Pt1.5In,2.52917,No,189
1720517,FeSi,2.28199,No,120
526830,PdSb,2.73819,No,98
456496,PdSb,2.70645,No,98
1520544,FeSi,2.28588,No,120
261075,Fe1.5Ge,0.05347,Yes,307
1640546,Ni2Si,2.31123,No,228
1824383,CoSb2,2.49052,No,180
452814,Ru5Si3,2.30182,No,312
531425,Ni2Ge,2.2909,No,189
1820697,Fe5Si3,2.3105,No,334
532138,Ni0.8In0.2,2.53658,No,60
535131,OsSb2,2.63866,No,90
1817985,IrIn3,2.64559,No,270
455438,Ni1.67Ge,2.25914,No,189
452343,RuGe,2.45141,No,120
453075,Ni0.92Si0.08,2.48901,No,120
261288,CoGa,2.48548,No,62
1050903,Pt2Sn3,2.67969,No,261
534763,Pt2In3,2.73525,No,127
1962842,Fe1.46Ga0.54,2.58248,No,109
453920,Ni3Si,2.47911,No,113
454901,Fe1.82Ge,2.29436,No,189
527737,Co2.9Sn2,2.33418,No,348
1013153,PtSn2,2.79076,No,278
558693,Fe1.8Ge,2.33477,No,257
1819570,Ni0.92Sb0.08,2.54275,No,120
1962840,Fe2.92Ga1.08,2.62831,No,211
534761,NiGa,2.48808,No,62
532310,Fe3Si,2.44794,No,466
1923808,FeSi,2.28343,No,120
558644,Co1.67Ge,2.25914,No,189
1121652,NiSi,2.27637,No,152
250057,RhSi,2.39598,No,152
531427,Ni1.22Ge,2.21757,No,189
1640544,Ni3Si,2.47911,No,113
1819772,Fe0.9Ge0.1,2.49501,No,60
1824395,Pd5Sn7,1.57375,No,418
1228369,Fe0.96Ge0.04,2.49068,No,60
1820695,Fe5Si3,2.3245,No,334
456494,PtSb,2.74,No,98
1520546,FeSi,2.26927,No,120
1962303,NiIn,2.61474,No,163
1720501,FeSi,2.30057,No,120
526826,PtSb,2.7405,No,98
1720515,FeSi,2.28933,No,120
1727534,RuIn3,2.6479,No,270
1431488,CoGa,2.49622,No,62
456457,FeSi,2.28445,No,120
1720529,FeSi,2.28026,No,120
1838025,PdSb2,2.57218,No,180
1643887,PdSb,2.7359,No,98
526991,Pd1.5Sn0.5,2.75904,No,77
452976,FeSb2,2.57062,No,90
1234634,FeGe2,2.484,No,250
1949025,Ni2Si,2.33972,No,228
378446,NiSb,2.56,No,98
1949019,NiGe,2.34166,No,152
1407714,Ir0.985Sn0.015,2.71529,No,120
545205,NiSi2,2.34107,No,278
453315,Ni3Sn,2.50264,No,187
1643878,Pd2Sn,2.65011,No,228
1400053,Ru2Sn3,2.59041,No,376
450620,Ni1.5Sn,2.36884,No,189
1943078,Pd1.63Sn,2.52588,No,189
1100703,CoSi,2.26251,No,120
1611441,OsSi,2.40789,No,120
1947222,NiIn,2.63149,No,163
1200977,Ni1.38Sn,2.32211,No,208
261301,Pd2In,2.60156,No,228
534832,PtIn2,2.75655,No,278
1826637,Ni2Si,2.24313,No,228
527682,NiSb2,2.53798,No,90
554644,PtIn2,2.75612,No,278
1831363,Ni3Sn,5e-05,Yes,313
554645,Pt2In3,2.74121,No,127
454889,Co0.9Si0.1,2.49519,No,136
558719,Fe1.76Ge,2.32092,No,189
1826636,Ni2Si,2.30271,No,228
1002698,Ni2Si,2.29977,No,228
534833,Pt1.5In,2.51144,No,189
1200976,Ni1.38Sn,2.32568,No,208
1013018,Ni2Si,2.31486,No,228
261300,Pd2Sn,2.60821,No,228
1100702,CoSi2,2.31774,No,278
1947223,Ni2In,2.47911,No,189
1943079,Pd3Sn,2.80997,No,113
1400052,Ru0.98Sn0.02,2.65324,No,136
450621,Ni2In,2.41733,No,189
1643879,Pd3Sn,2.81279,No,113
1301671,Fe2Si,2.35921,No,149
1838178,PtSb2,2.56354,No,180
378447,CoSb,2.5825,No,98
1050323,Pd2Sn,2.65296,No,228
383187,FeGe,2.48928,No,163
452977,CoSb2,2.54056,No,90
1949024,PtGe,2.4524,No,152
1400913,RhSi,2.44233,No,120
458296,PtSb2,2.55983,No,180
1720528,FeSi,2.28176,No,120
1431489,CoGa3,2.36136,No,270
1720514,FeSi,2.29134,No,120
1720272,PdSb,2.73714,No,98
1962302,CoSn,2.61049,No,163
526827,Fe1.38Sb,2.3902,No,189
1720500,FeSi,2.30186,No,120
1520547,FeSi,2.2611,No,120
260368,PtSn4,2.75817,No,336
261076,Fe3Ge,2.53851,No,113
1613121,PtSb,2.743,No,98
1817986,IrIn3,2.44435,No,272
1820694,Fe5Si3,2.3335,No,334
1228368,FeGe,2.41629,No,120
531426,Co1.30Ge,2.23778,No,189
382886,Fe3.09Ge0.91,5e-05,Yes,404
1626429,CoSb2,2.44721,No,180
250056,OsSi,2.56343,No,62
1121653,NiSi,2.28261,No,152
1923809,FeSi,2.27227,No,62
452383,Pt3Si,2.29784,No,272
1715746,IrSb,2.67952,No,98
1824800,PdSb2,2.57361,No,180
534760,Ni0.64Ga0.36,2.52335,No,60
534748,PdGa,2.48398,No,120
1923821,Pt0.5Sn0.5,2.81944,No,120
558692,Fe1.85Ge,2.33477,No,257
1928974,NiSi,2.25071,No,152
534061,Fe0.98Sb0.02,2.4886,No,60
1635383,FeSb2,2.44377,No,90
1717644,Pt3Si,2.62341,No,396
261213,RhSb,2.58933,No,152
1102012,PdSb2,2.56182,No,180
250958,Pd0.85In0.15,2.78501,No,120
529018,Pt3Sb,2.786,No,332
1928052,Fe0.9Ge0.1,2.49501,No,60
452327,NiSi2,2.33609,No,278
1822219,FeSn,2.64849,No,163
1301574,Pt3Sn,2.83125,No,113
451160,Ni2Si,2.08226,No,228
1957862,RhGe,2.4738,No,120
1200656,Ni1.50Sn,2.36884,No,189
451606,CoIn3,2.5934,No,233
262083,Rh1.5Si,2.27993,No,189
527948,CoSn,2.61859,No,163
1630210,Fe1.27Sb,2.38206,No,189
1921738,Fe1.13Sb,2.35458,No,189
1828287,Fe3Si,2.44738,No,466
1406281,Pt0.914Sb0.086,2.77369,No,120
261763,Ni1.52Si0.48,2.4369,No,77
1608214,PtSb1.85,2.58333,No,180
531441,Co2Si,2.3133,No,228
532809,FeSi2,2.35346,No,81
526868,NiSb2,2.46438,No,90
1023221,Fe3Si,2.45084,No,466
458420,CoSi,2.26511,No,120
532835,CoSi,2.26053,No,120
526854,CoSi2,2.3231,No,278
1601436,NiSb,2.5515,No,98
1838123,Co1.12Sb,2.25279,No,189
261818,Ni0.85Si0.15,2.48689,No,120
1010947,FeSb2,2.5703,No,90
450108,Pt3Ge,2.46389,No,396
1606629,RuSn,2.77586,No,62
528500,CoSn2,2.725,No,250
1923932,Pt0.67Sn0.33,2.81117,No,120
1921664,CoSi,2.26358,No,120
456753,FeSn,2.64849,No,163
1826645,NiSi2,2.34086,No,278
1235941,RuGa3,0.15774,Yes,420
1834527,Ni3Sn4,2.51833,No,210
1240312,NiSi,2.21109,No,152
1623318,Pd2In,2.68906,No,228
1804396,RuSi,2.39236,No,120
1837984,Ni3Sn2,2.45035,No,348
1623319,Pd1.5In0.5,2.78141,No,77
1240313,NiSi2,2.3309,No,278
1834526,Ni1.5Sn,2.3596,No,189
1235940,RuGa3,2.43569,No,270
456752,FeGe,2.48837,No,163
1921665,CoSi2,2.3231,No,278
1606628,RuGe,2.60794,No,62
1128956,Ni3Sn2,2.55889,No,348
531285,OsGa2,2.5731,No,360
1248559,Ni3Si,2.4876,No,113
1010946,Fe0.97Sb0.03,2.49934,No,60
450109,Ni0.78Ge0.22,2.52507,No,120
261819,Ni3Si,2.47911,No,113
1838122,NiSb,2.57,No,98
1218352,FeGe,2.38787,No,120
526909,CoSn2,2.7205,No,250
261158,Rh1.5Sn,2.50047,No,189
1412395,Pd2In3,2.74503,No,127
1929952,FeGe2,2.4778,No,250
1236695,NiIn,2.62249,No,163
1042812,NiIn,2.62049,No,163
532834,FeSi,2.27987,No,120
526869,FeSb2,2.5822,No,90
1928537,NiSb,2.569,No,98
261979,RuSi,2.51779,No,62
1531404,FeSi,2.28343,No,120
261762,Ni0.75Si0.25,2.53328,No,120
1300131,Pt3Sn,2.81782,No,113
262082,RhSi,2.37064,No,152
1921739,Fe1.23Sb,2.37184,No,189
527949,FeSn,2.64999,No,163
1957863,RuGe,2.46719,No,120
1200657,Ni1.63Sn,2.38864,No,189
452326,CoSi2,2.31921,No,278
1301575,Pt2Sn3,2.67915,No,261
1823674,Fe0.8Ga0.2,2.5106,No,60
1008516,FeSn2,2.693,No,250
454964,Fe5Si3,2.357,No,334
250959,Pd0.75In0.25,2.78237,No,60
1717645,Pt2Si,2.43071,No,206
261212,PdSn4,2.75771,No,300
1149576,FeGa3,2.36315,No,270
1635382,FeSb2,2.45064,No,90
250965,Pt0.85In0.15,2.7925,No,120
1300872,CoIn3,2.60003,No,270
250967,Pd2In3,2.74415,No,127
381482,Fe0.88Ge0.12,2.49544,No,60
534062,FeSb,2.565,No,98
1635380,FeSb2,2.46641,No,90
452495,FeSb2,2.58154,No,90
533902,Fe1.14Sb,2.34979,No,189
1301577,PtSn2,2.78816,No,278
1717848,PtGe,2.50434,No,152
1534783,Pt1.04Ga1.89,2.56988,No,466
1824131,Fe1.88Si0.12,2.47856,No,109
455311,FeGe,2.39236,No,120
1963508,Ni2Si,2.31396,No,228
262080,Ir2Si,2.47847,No,228
452318,Pd2Si,2.39154,No,206
1200655,Ni1.35Sn,2.33962,No,189
1400368,FeSi,2.28445,No,120
548817,Fe3Si,2.45084,No,466
1226309,Ni3Sn,2.64061,No,113
261760,Pd1.12Ga0.88,2.70918,No,109
1538436,CoIn3,2.59747,No,266
558392,Fe1.22Sb,2.36711,No,189
531442,Ni2Si,2.31446,No,228
1720558,FeSi,2.27815,No,120
1810928,Fe3Si0.93,2.45214,No,466
526857,NiSb2,2.53733,No,90
531278,Co1.75Ge,2.23894,No,189
1601435,Ni5Sb2,2.55038,No,420
1830597,Ni5Ga2.7,2.42411,No,333
1201198,Ni1.5Sn,2.36999,No,189
1829987,FeGa3,2.36248,No,270
451201,Rh2Ge,2.46149,No,228
260293,RhGe4,2.49509,No,286
